company_name,url,description,founders,location_city,location_state,location,headquarters,linkedin_url,crunchbase_url,total_funding_normalized,total_funding,num_funding_rounds,funding_stage_progression,latest_round,latest_round_amount,latest_round_date,latest_funding_date,years_since_last_funding,total_investor_count,lead_investors,all_investors,key_investors,notable_tier1_investors,has_colorado_investors,industry_categories,business_model,company_stage,technology_focus,target_market,colorado_connection
8Bit-Corp LLC,https://8bit-corp.com,"Provides technology solutions for small businesses, founded by technologists and active in the Colorado Springs startup ecosystem[9].",Forrest Garcia,Fountain,CO,"Fountain, CO","1 Taos Cir, PO BOX 2023, Fountain, CO 80817-2103",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"IT Consulting, Technology Solutions",B2B Services,Early Growth,IT Consulting,SMB,High
Access Venture Partners,https://www.accessvp.com,"Denver-based VC firm investing in early-stage technology companies in Colorado and the Mountain West, with a portfolio including Inspirato, LogRhythm, and Red Canary[3][7].","Frank Mendicino II, Frank Mendicino III",Westminster,CO,"Westminster, CO","8787 Turnpike Drive, Suite 260, Westminster, Colorado, 80031",https://www.linkedin.com/company/access-venture-partners,,Unknown,Not found,3,Seed → Series A → Series C,Series C,$81M,Unknown,Not found,-1,3,"Access Venture Partners, Summit Partners, Noro-Moseley Partners","Access Venture Partners, Summit Partners, Noro-Moseley Partners",,,Yes,"Technology, Cybersecurity, SaaS",B2B SaaS,Early Growth,"Cybersecurity, SaaS",SMB,High
ActivateWork,https://www.activatework.org,"Denver-based nonprofit offering technology boot camps and apprenticeships, with 110% revenue growth since 2020[5].",Helen Young Hayes,Denver,CO,"Denver, CO","1777 South Harrison Street, Suite 350, Denver, CO 80210",,,$2.5M,Over $2.5 million,4,Unknown,Unknown,Unknown,2025-11,2025-11,0,3,"Wells Fargo, Colorado Office of the Future of Work, Colorado Housing and Finance Authority","Wells Fargo, Colorado Office of the Future of Work, Colorado Housing and Finance Authority","Wells Fargo, Colorado Office of the Future of Work, Colorado Housing and Finance Authority",,Yes,"Nonprofit, Education, Technology Training",Nonprofit,Early Growth,"Cybersecurity, Workforce Development","Government, Workforce",High
Affineon Health,https://www.affineonhealth.com,"HealthTech startup focused on administrative healthcare services, raised $5M in Seed funding[3].","David Norris, AI Fund",Denver,CO,"Denver, CO","1550 Wewatta Street, 2nd Floor, Denver, Colorado, 80202, United States",,,$6M,$6 million,1,Seed,Seed,$5M,2025-02,2025-02,0,6,"GPG Ventures, AI Fund, Deepwater","GPG Ventures, AI Fund, Deepwater, Benhamou Global Ventures, Headwater Ventures, Signal Peak Ventures","GPG Ventures, AI Fund, Deepwater, Benhamou Global Ventures, Headwater Ventures, Signal Peak Ventures",,No,"HealthTech, AI, SaaS",B2B SaaS,Seed,AI/ML,Healthcare,High
AgentSync,https://agentsync.io,"Provides infrastructure and compliance management solutions for insurance carriers, agencies, and MGAs; raised $50M Series B in October 2023[5][13].","Niranjan “Niji” Sabharwal, Jenn Knight",Denver,CO,"Denver, CO","3601 Walnut Street, Suite 450, Denver, Colorado 80205, United States",,,$161M,$161M,5,Seed → Series A → Series B → Series B Extension,Series B Extension,$50M,2023-10,2023-10,2,6,"Craft Ventures, Valor Equity Partners, Elad Gil","Caffeinated Capital, Elad Gil, Craft Ventures, Valor Equity Partners, Tiger Global Management, SciFi VC","Craft Ventures, Valor Equity Partners, Elad Gil, Caffeinated Capital, Tiger Global Management, SciFi VC",,No,"Insurance, Compliance Management, SaaS",B2B SaaS,Growth,Compliance Software,"Insurance Carriers, Agencies, MGAs",High
AI Capital,https://aicapital.co,"Denver-based VC investing in growth-stage enterprise applied artificial intelligence software companies, focusing on digitization, supply chain, manufacturing, life sciences, and public safety[1].","Neville Teagarden, Josh Sutton, Zane R. Heninger",Denver,CO,"Denver, CO","PO Box 19751, Boulder, Colorado, 80308, United States",,,Unknown,Not found,3,Seed → Series A → Series B,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"AI, Enterprise Software, Life Sciences",B2B SaaS,Growth,AI/ML,Enterprise,High
AidKit,https://www.aidkit.com,"Builds software to help organizations deliver aid efficiently and with dignity, specializing in direct cash assistance and benefits distribution[5][1].","Katrina Van Gasse, Brittany Christenson, Mark A. Newhouse",Denver,CO,"Denver, CO","2000 S. Colorado Blvd., Bldg. 1–2000, #177, Denver, CO 80222, United States",https://www.linkedin.com/company/aidkit/,https://www.crunchbase.com/organization/aidkit,$8.5M,$8.5 million,1,Series A,Series A,$8.5M,2025-03,2025-03,0,1,Blueprint Equity,Blueprint Equity,Blueprint Equity,,No,"Software, Nonprofit, FinTech",B2B SaaS,Early Growth,Software Development,Nonprofit Organizations,High
ALLCITY Network,https://www.allcitynetwork.com,"Denver, Colorado - Digital media and internet radio platform that raised $12M in Series B funding in August 2024, backed by Bullpen Capital and Tegna",Not found,Denver,CO,"Denver, CO",Not found,,,$12M,$12M,2,Seed → Series A → Series B,Series B,$12M,2024-08,2024-08,1,2,"Bullpen Capital, Tegna","Bullpen Capital, Tegna","Bullpen Capital, Tegna",,No,"Digital Media, Internet Radio",Consumer,Early Growth,Media Technology,Consumer,High
Alpin,https://www.alpinemediatech.com,"Colorado-based startup, portfolio company of Rockies Venture Club","Freddie Peyerl, Gerrit VandeKemp, Jeff Connors",Colorado,CO,"Colorado, USA",Not found,,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,1,Rockies Venture Club,Rockies Venture Club,Rockies Venture Club,,Yes,"Media, Technology, Communication",B2B SaaS,Early Growth,Media Technology,Consumer,High
Alpine IQ,https://www.alpineiq.com,"Broomfield-based software company specializing in customer data management and omnichannel consumer experience solutions, with over 16,000% revenue growth since 2020[1][3].","Nicholas Paschal, Shahzil Abid, West Paschal",Broomfield,CO,"Broomfield, CO","2205 West 136th Avenue, Suite 106, Broomfield, Colorado, 80023, United States",,,$0.75M,"$750,000",3,Unknown,Unknown,"$653,000",2024-02,2024-02,1,0,,,,,No,"Software, Customer Data Management, Marketing Technology",B2B SaaS,Growth,AI-driven solutions,Retail,High
