company_name,url,snippet,social_links,content_length,scrape_method,success
Boom Supersonic,https://boomsupersonic.com,Develops supersonic commercial aircraft aiming to make high-speed air travel mainstream[3].,,1423,requests,Yes
Hotel Engine,https://www.hotelengine.com,"Provides a hotel booking platform tailored for business travel, offering discounted rates and streamlined management[3].",,11942,requests,Yes
Sunday,https://getsunday.com,Offers lawn care products and services using data and science to simplify lawn maintenance for homeowners[3].,,3231,playwright,Yes
Forge Nano,https://www.forgenano.com,"Specializes in advanced materials and nanotechnology, providing atomic layer deposition solutions for various industries[3].",,5844,requests,Yes
Inspirato,https://www.inspirato.com,"Luxury travel subscription service offering access to exclusive vacation homes, hotels, and experiences[3].",,4232,requests,Yes
Blackpoint Cyber,https://www.blackpointcyber.com,Cybersecurity company delivering managed detection and response services to protect organizations from cyber threats[3].,,5874,requests,Yes
Biodesix,https://www.biodesix.com,"Provides diagnostic solutions for lung disease, including blood-based tests for cancer and other conditions[3].",,1758,requests,Yes
Crusoe Energy,https://www.crusoeenergy.com,"Uses excess natural gas to power modular data centers, reducing flaring and supporting sustainable computing[3].",,31977,requests,Yes
Peregrine Energy Solutions,https://www.peregrineenergysolutions.com,Develops and operates clean energy storage projects to support renewable energy integration[3].,,8613,requests,Yes
"Solid Power, Inc.",https://www.solidpowerbattery.com,"Develops all-solid-state rechargeable batteries for electric vehicles and mobile power markets, aiming for safer, higher-energy batteries[5][1].",,4522,requests,Yes
Cleerly,https://www.cleerlyhealth.com,"Uses AI and advanced imaging to enable personalized precision heart health diagnostics and care, focusing on cardiovascular disease prevention and management[5][1].",,2512,requests,Yes
"Project Canary, PBC",https://www.projectcanary.com,"Provides environmental data and emissions monitoring solutions for the energy industry, helping companies meet ESG goals and regulatory requirements[5][1].",,14461,requests,Yes
Fetch,https://www.fetch.com,"Operates a mobile app for on-demand delivery from local businesses, offering multi-stop concierge delivery services for a wide range of products[5][1].",,1120,requests,Yes
AidKit,https://www.aidkit.com,"Builds software to help organizations deliver aid efficiently and with dignity, specializing in direct cash assistance and benefits distribution[5][1].","facebook: https://www.facebook.com/watch/live/?ref=watch_permalink&v=795365885809160, linkedin: https://www.linkedin.com/company/aidkit/",18650,requests,Yes
Travertine,https://www.travertine.tech,"Focuses on clean energy and carbon removal technologies, developing scalable solutions for industrial decarbonization[5][1].",,7453,requests,Yes
Nexo Therapeutics,https://www.nexotx.com,"Biotech company developing targeted therapies for cancer and other serious diseases, leveraging advanced drug discovery platforms[5][1].",,3445,requests,Yes
Proof Technology,https://www.proofserve.com,"Provides a nationwide platform for legal service of process, offering transparency and verification for legal document delivery[5][1].",,3460,requests,Yes
Quadratic,https://www.quadratic.to,"Develops collaborative data tools and spreadsheet software for teams, enabling real-time data analysis and workflow automation[5][1].",,2614,requests,Yes
JumpCloud,https://jumpcloud.com,"Provides a cloud directory platform for secure identity, access, and device management for organizations, enabling IT teams to manage user authentication and security across devices and applications[5",,6338,requests,Yes
BillGO,https://billgo.com,"Offers a real-time bill payments platform designed to modernize bill payments for financial institutions, fintechs, and consumers, improving speed and transparency[3].","twitter: https://twitter.com/BillGOPayments, linkedin: https://www.linkedin.com/company/billgopayments",6777,requests,Yes
